DateTime,Energie_import_kWh,Index_import_kWh,Source,Pas
01/01/2025 00:00,0.264,18420.264,Compteur intelligent,1H
01/01/2025 01:00,0.262,18420.527,Compteur intelligent,1H
01/01/2025 02:00,0.266,18420.793,Compteur intelligent,1H
01/01/2025 03:00,0.32,18421.113,Compteur intelligent,1H
01/01/2025 04:00,0.311,18421.424,Compteur intelligent,1H
01/01/2025 05:00,0.396,18421.819,Compteur intelligent,1H
01/01/2025 06:00,1.102,18422.922,Compteur intelligent,1H
01/01/2025 07:00,1.26,18424.182,Compteur intelligent,1H
01/01/2025 08:00,1.069,18425.251,Compteur intelligent,1H
01/01/2025 09:00,0.492,18425.744,Compteur intelligent,1H
01/01/2025 10:00,0.332,18426.076,Compteur intelligent,1H
01/01/2025 11:00,0.348,18426.424,Compteur intelligent,1H
01/01/2025 12:00,0.39,18426.814,Compteur intelligent,1H
01/01/2025 13:00,0.358,18427.172,Compteur intelligent,1H
01/01/2025 14:00,0.308,18427.479,Compteur intelligent,1H
01/01/2025 15:00,0.299,18427.779,Compteur intelligent,1H
01/01/2025 16:00,0.413,18428.192,Compteur intelligent,1H
01/01/2025 17:00,0.523,18428.715,Compteur intelligent,1H
01/01/2025 18:00,0.723,18429.438,Compteur intelligent,1H
01/01/2025 19:00,1.389,18430.827,Compteur intelligent,1H
01/01/2025 20:00,1.748,18432.575,Compteur intelligent,1H
01/01/2025 21:00,1.629,18434.204,Compteur intelligent,1H
01/01/2025 22:00,1.377,18435.58,Compteur intelligent,1H
01/01/2025 23:00,0.75,18436.33,Compteur intelligent,1H
02/01/2025 00:00,0.326,18436.656,Compteur intelligent,1H
02/01/2025 01:00,0.259,18436.915,Compteur intelligent,1H
02/01/2025 02:00,0.296,18437.211,Compteur intelligent,1H
02/01/2025 03:00,0.293,18437.504,Compteur intelligent,1H
02/01/2025 04:00,0.366,18437.87,Compteur intelligent,1H
02/01/2025 05:00,0.419,18438.289,Compteur intelligent,1H
02/01/2025 06:00,1.118,18439.407,Compteur intelligent,1H
02/01/2025 07:00,1.187,18440.594,Compteur intelligent,1H
02/01/2025 08:00,0.927,18441.52,Compteur intelligent,1H
02/01/2025 09:00,0.45,18441.97,Compteur intelligent,1H
02/01/2025 10:00,0.264,18442.234,Compteur intelligent,1H
02/01/2025 11:00,0.331,18442.565,Compteur intelligent,1H
02/01/2025 12:00,0.391,18442.956,Compteur intelligent,1H
02/01/2025 13:00,0.278,18443.234,Compteur intelligent,1H
02/01/2025 14:00,0.403,18443.638,Compteur intelligent,1H
02/01/2025 15:00,0.301,18443.939,Compteur intelligent,1H
02/01/2025 16:00,0.394,18444.332,Compteur intelligent,1H
02/01/2025 17:00,0.427,18444.76,Compteur intelligent,1H
02/01/2025 18:00,0.729,18445.488,Compteur intelligent,1H
02/01/2025 19:00,1.446,18446.935,Compteur intelligent,1H
02/01/2025 20:00,1.756,18448.691,Compteur intelligent,1H
02/01/2025 21:00,1.739,18450.43,Compteur intelligent,1H
02/01/2025 22:00,1.436,18451.866,Compteur intelligent,1H
02/01/2025 23:00,0.751,18452.617,Compteur intelligent,1H
03/01/2025 00:00,0.236,18452.853,Compteur intelligent,1H
